device_id,time_start,time_end,activity,km,dir,min,km/h,points,ol_line_type,ol_line_name,nl_line_type,nl_line_name,st_line_type,st_line_name
128,"2016-08-26 13:07:44","2016-08-26 13:13:51",WALKING,0,E,6,1,13,,,,,,
128,"2016-08-26 13:14:01","2016-08-26 13:31:34",IN_VEHICLE,9,SW,18,32,45,,,SUBWAY,V,SUBWAY,Ruoholahti - Vuosaari
128,"2016-08-26 13:32:04","2016-08-26 13:35:23",ON_BICYCLE,0,SW,3,1,7,,,,,,
128,"2016-08-26 13:36:52","2016-08-26 13:55:10",IN_VEHICLE,6,W,18,20,89,,,,,BUS,103T
128,"2016-08-26 13:55:32","2016-08-26 14:03:26",WALKING,0,NW,8,4,35,,,,,,
128,"2016-08-26 14:45:24","2016-08-26 14:46:47",WALKING,0,E,1,4,8,,,,,,
128,"2016-08-26 14:46:58","2016-08-26 15:18:02",IN_VEHICLE,14,N,31,27,159,,,,,,
128,"2016-08-26 15:19:12","2016-08-26 15:20:56",ON_BICYCLE,0,NE,2,1,8,,,,,,
128,"2016-08-26 15:21:16","2016-08-26 15:31:31",IN_VEHICLE,4,SW,10,23,56,,,,,,
128,"2016-08-26 15:31:41","2016-08-26 15:33:07",WALKING,0,N,1,2,7,,,,,,
128,"2016-08-26 15:34:20","2016-08-26 15:36:16",ON_BICYCLE,0,S,2,0,6,,,,,,
128,"2016-08-26 15:36:59","2016-08-26 15:51:48",IN_VEHICLE,8,S,15,32,60,,,,,TRAIN,I
132,"2016-08-26 08:48:44","2016-08-26 09:14:53",IN_VEHICLE,6,NE,26,13,99,,,,,,
132,"2016-08-26 09:15:36","2016-08-26 09:21:30",WALKING,0,W,6,1,10,,,,,,
132,"2016-08-26 09:41:43","2016-08-26 09:53:55",WALKING,1,SE,12,3,47,,,,,,
132,"2016-08-26 09:54:28","2016-08-26 10:14:16",IN_VEHICLE,5,SE,20,16,82,,,,,BUS,103T
132,"2016-08-26 10:14:27","2016-08-26 10:16:15",WALKING,0,S,2,4,7,,,,,,
132,"2016-08-26 10:17:28","2016-08-26 10:25:54",IN_VEHICLE,1,NE,8,7,15,,,,,,
132,"2016-08-26 10:26:16","2016-08-26 10:34:06",WALKING,1,E,8,5,23,,,,,,
132,"2016-08-26 10:36:03","2016-08-26 10:48:14",IN_VEHICLE,6,NE,12,28,36,,,,,SUBWAY,Ruoholahti - Mellunmäki
132,"2016-08-26 10:48:56","2016-08-26 10:59:13",WALKING,0,N,10,0,18,,,,,,
132,"2016-08-26 10:59:43","2016-08-26 11:09:46",IN_VEHICLE,6,E,10,38,31,,,SUBWAY,V,SUBWAY,Ruoholahti - Vuosaari
132,"2016-08-26 11:09:55","2016-08-26 11:27:13",WALKING,0,E,17,0,34,,,,,,
132,"2016-08-26 11:28:05","2016-08-26 11:34:36",IN_VEHICLE,3,W,7,27,23,SUBWAY,V,SUBWAY,V,SUBWAY,Ruoholahti - Vuosaari
132,"2016-08-26 11:35:18","2016-08-26 11:49:01",WALKING,0,W,14,0,48,,,,,,
132,"2016-08-26 11:57:56","2016-08-26 12:01:18",IN_VEHICLE,0,E,3,1,11,,,,,,
132,"2016-08-26 12:01:40","2016-08-26 12:10:09",WALKING,0,E,8,0,8,,,,,,
132,"2016-08-26 13:12:06","2016-08-26 13:13:41",WALKING,0,SW,2,4,9,,,,,,
132,"2016-08-26 13:15:14","2016-08-26 13:23:37",IN_VEHICLE,6,SW,8,42,25,,,SUBWAY,V,,
132,"2016-08-26 13:24:11","2016-08-26 13:27:55",WALKING,0,SW,4,4,11,,,,,,
132,"2016-08-26 13:28:48","2016-08-26 13:41:28",IN_VEHICLE,1,SW,13,6,30,,,,,,
