"time","device_id","lat","lng","accuracy","activity_1","activity_1_conf","activity_2","activity_2_conf","activity_3","activity_3_conf"
"2016-08-26 09:03:06.816",1,60.164373,24.702638,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:03:08.728",3,60.15855,24.742752,3.90000009536743,"IN_VEHICLE",77,"WALKING",23,"UNKNOWN",0
"2016-08-26 09:03:13.457",5,60.194638,24.76886,5,"ON_BICYCLE",69,"WALKING",31,"UNKNOWN",0
"2016-08-26 09:03:16.812",1,60.164262,24.702778,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:03:18.758",3,60.158902,24.744066,8,"IN_VEHICLE",85,"UNKNOWN",15,"UNKNOWN",0
"2016-08-26 09:03:29.563",3,60.159339,24.7459,4,"IN_VEHICLE",92,"ON_BICYCLE",8,"UNKNOWN",0
"2016-08-26 09:03:40.577",3,60.159598,24.747484,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:03:44.607",5,60.194655,24.768841,5,"STILL",42,"UNKNOWN",25,"WALKING",20
"2016-08-26 09:03:47.811",1,60.164333,24.702764,3,"WALKING",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:03:50.581",3,60.159851,24.748682,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:03:54.554",2,60.186651,24.820689,45,"STILL",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:03:55.451",5,60.194653,24.768743,5,"STILL",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:03:58.805",1,60.164329,24.702776,3,"ON_BICYCLE",75,"IN_VEHICLE",5,"STILL",5
"2016-08-26 09:04:00.617",3,60.160254,24.749476,4,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:04:09.804",1,60.164288,24.70273,3,"UNKNOWN",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:04:10.775",3,60.161142,24.749954,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:04:21.756",3,60.161703,24.750562,4,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:04:29.818",1,60.16423,24.702819,3,"UNKNOWN",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:04:32.564",3,60.162055,24.750956,3.90000009536743,"IN_VEHICLE",85,"UNKNOWN",15,"UNKNOWN",0
"2016-08-26 09:04:40.81",1,60.164261,24.702775,3,"UNKNOWN",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:04:42.582",3,60.162978,24.751721,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:04:51.811",1,60.164226,24.702787,3,"UNKNOWN",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:04:53.602",3,60.164001,24.752365,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:05:03.682",3,60.164789,24.753322,4,"IN_VEHICLE",92,"UNKNOWN",8,"UNKNOWN",0
"2016-08-26 09:05:12.802",1,60.164235,24.702791,3,"STILL",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:05:13.733",3,60.165219,24.755538,3.90000009536743,"IN_VEHICLE",85,"ON_BICYCLE",15,"UNKNOWN",0
"2016-08-26 09:05:23.759",3,60.16606,24.757574,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:05:33.791",3,60.1665,24.760709,5,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:05:40.935",5,60.194798,24.767857,23.8479995727539,"STILL",77,"IN_VEHICLE",15,"ON_BICYCLE",8
"2016-08-26 09:05:44.612",3,60.166852,24.76445,4,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:05:54.614",3,60.167271,24.768072,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:05:54.848",1,60.164207,24.702843,3,"STILL",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:06:00.837",1,60.1642,24.70298,12,"ON_BICYCLE",75,"IN_VEHICLE",5,"STILL",5
"2016-08-26 09:06:05.611",3,60.167718,24.772082,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:06:11.786",1,60.16421,24.702855,3,"ON_BICYCLE",75,"IN_VEHICLE",5,"STILL",5
"2016-08-26 09:06:15.789",3,60.168083,24.775692,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:06:21.787",1,60.164202,24.702808,3,"STILL",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:06:26.575",3,60.168406,24.779936,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:06:36.6",3,60.168499,24.783962,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:06:46.62",3,60.1685,24.78812,4,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:06:57.626",3,60.16853,24.792704,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:07:08.804",3,60.168791,24.797345,3.90000009536743,"IN_VEHICLE",100,"UNKNOWN",0,"UNKNOWN",0
"2016-08-26 09:07:12.809",1,60.16404,24.70305,3,"UNKNOWN",75,"IN_VEHICLE",5,"ON_BICYCLE",5
"2016-08-26 09:07:19.772",3,60.169186,24.801825,3.90000009536743,"IN_VEHICLE",92,"UNKNOWN",8,"UNKNOWN",0
