device_id,st_entrance,st_entry_time,line_type,line_name,vehicle_dep_time,vehicle_dep_stop,vehicle_arr_time, vehicle_arr_stop,st_exit_location,st_exit_time ,comments
4,korvatunturinpolku (Rkioski side),"2016-08-26 11:24:00",SUBWAY,to west,"2016-08-26 11:26:00",Mellunmäki,"2016-08-26 11:28:00",kontula,emännänpolku (rkioski),"2016-08-26 11:30:00",
4,emännänpolku (rkioski),"2016-08-26 11:35:00",SUBWAY,to east,"2016-08-26 11:36:00",Kontula,"2016-08-26 11:38:00",Myllypuro,no exit!,,No Exit! Wait for the next metro to east
4,,,SUBWAY,to east,"2016-08-26 11:45:00",Myllypuro,"2016-08-26 11:47:00",Itäkeskus,C (Tallinanaukio),"2016-08-26 11:49:00","After exiting Itäkeskus metro station: Entered Itis building from D entrance. 
Walking inside Itis, first down to parking lot, looking for Thai Orchid. Then back to ground floor... 
Lunch at Thai Orchid .....
Exit Itis at 13:13 from door next to Thai Orchid. 
Enter Itäkeskus metro station at 13:16 from D entrace (Tallinanaukio). 
Exit metro station at 13:18 from same (D)!"
4,C,"2016-08-26 13:18:00",SUBWAY,to west,"2016-08-26 13:21:50",Itäkeskus,"2016-08-26 13:31:00",Sörnäinen,A (Helsinginkatu ),"2016-08-26 13:35:00",
4,G (front of Efes pub),"2016-08-26 13:38:00",SUBWAY,to west,"2016-08-26 13:44:00",Sörnäinen,"2016-08-26 13:47:00",Helsingin yliopisto,next to Hauler oriental market,"2016-08-26 13:50:30",tricky exit !
4,B (Vilhonkatu),"2016-08-26 13:53:00",SUBWAY,to west,"2016-08-26 13:57:00",Helsingin yliopisto,"2016-08-26 14:01:00",Ruoholahti,A (Itämerenkuja),,
4,,,TRAM,9,"2016-08-26 14:28:00",Länsilinkki,"2016-08-26 14:31:00",kampintori,,,
4,kamppi (in front of DNA and Rkioski),"2016-08-26 15:13:00",SUBWAY,to east,"2016-08-26 15:15:00",kamppi,"2016-08-26 15:20:00",Sörnäinen,E (in front of picnic),"2016-08-26 15:23:50",
4,F (in front of picnic),"2016-08-26 15:50:00",SUBWAY,to west,"2016-08-26 15:53:00",Sörnäinen,"2016-08-26 15:55:00",Hakaniemi,B,"2016-08-26 15:57:00",
5,,,BUS,110,"2016-08-26 09:08:00",E2403 Vanha-Mankkaa,"2016-08-26 09:13:00",E1319 Nihtisillanportti,,,
5,,,BUS,Espoo18,"2016-08-26 09:16:00",E1319 Nihtisillanportti,"2016-08-26 09:19:00",Ka1733 Kaupungintalo,,,
5,,,TRAIN,U,"2016-08-26 09:29:00",Kauniainen,"2016-08-26 09:43:00",Pasila,Opastinsilta,"2016-08-26 09:46:00",
5,,,TRAM,7A,"2016-08-26 09:58:00",0613 Messukeskus,"2016-08-26 10:08:00",0314 Sörnäinen,,,
5,C,"2016-08-26 10:09:00",SUBWAY,M,"2016-08-26 10:12:00",Sörnäinen,"2016-08-26 10:13:00",Kalasatama,A,"2016-08-26 10:15:00",
5,,,BUS,16,"2016-08-26 10:52:00",4029 Mustikkamaa,"2016-08-26 11:02:00",2557 Kalasatama,,,
5,A,"2016-08-26 11:04:00",SUBWAY,R,"2016-08-26 11:11:00",Kalasatama,"2016-08-26 11:14:00",Hakaniemi,E,"2016-08-26 11:16:00",
5,,,BUS,67,"2016-08-26 11:18:00",2402 Hakaniemi,"2016-08-26 11:20:00",Rautatientori,,,
5,L,"2016-08-26 11:23:00",SUBWAY,R,"2016-08-26 11:30:00",Rautatientori,"2016-08-26 11:31:00",Kamppi,D,"2016-08-26 11:32:00",
5,C,"2016-08-26 11:35:00",SUBWAY,M,"2016-08-26 11:38:00",Kamppi,"2016-08-26 11:52:00",Itäkeskus,D,"2016-08-26 11:52:00",
5,D,"2016-08-26 13:19:00",SUBWAY,M,"2016-08-26 13:22:00",Itäkeskus,"2016-08-26 13:28:00",Mellunmäki,A,"2016-08-26 13:29:00",
5,B,"2016-08-26 13:33:00",SUBWAY,R,"2016-08-26 13:34:00",Mellunmäki,"2016-08-26 13:43:00",Siilitie,A,"2016-08-26 13:44:00",
5,A,"2016-08-26 13:48:00",SUBWAY,V,"2016-08-26 13:54:00",Siilitie,"2016-08-26 14:02:00",Vuosaari,A,"2016-08-26 14:04:00",
5,A,"2016-08-26 14:16:00",SUBWAY,R,"2016-08-26 14:20:00",Vuosaari,"2016-08-26 14:30:00",Herttoniemi,A,"2016-08-26 14:30:00",
5,B,"2016-08-26 14:39:00",SUBWAY,R,"2016-08-26 14:40:00",Herttoniemi,"2016-08-26 14:50:00",Rautatientori,Forum Simonkatu,"2016-08-26 14:59:00",
5,,,TRAM,9,"2016-08-26 15:10:00",0231 Simonkatu,"2016-08-26 15:20:00",H0200 Länsiterminaali,,,
5,,,TRAM,9,"2016-08-26 15:36:00",H0200 Länsiterminaali,"2016-08-26 15:39:00",0820 Länsilinkki,,,
5,,,TRAM,8,"2016-08-26 15:51:00",0216 Itämerenkatu,"2016-08-26 15:52:00",0214 Ruoholahti,,,
5,A,"2016-08-26 15:52:00",SUBWAY,M,"2016-08-26 15:56:00",Ruoholahti,"2016-08-26 15:57:00",Kamppi,D,"2016-08-26 15:59:00",
6,Kampin keskus Fredrikinkatu,"2016-08-26 11:33:00",SUBWAY,,"2016-08-26 11:38:00",Kamppi,"2016-08-26 11:52:00",Itäkeskus,Itis Tallinnanaukio west,"2016-08-26 11:57:00",
6,,"2016-08-26 13:18:00",BUS,95,"2016-08-26 13:26:00",4310 Itäkeskus 10,"2016-08-26 13:43:00",4482 Mellunmäki 12,,,
6,west,"2016-08-26 13:44:00",SUBWAY,,"2016-08-26 13:47:00",Mellunmäki,"2016-08-26 13:49:00",Kontula,Pedestrian bridge west,"2016-08-26 13:50:00",
6,,"2016-08-26 13:57:00",BUS,560,"2016-08-26 14:01:00",H4405 Kontula,"2016-08-26 14:17:00",H4574 Vuosaari 14,,,
6,Vuosaaren terminaalisilta vs Columbus,"2016-08-26 14:18:00",SUBWAY,,"2016-08-26 14:19:00",Vuosaari,"2016-08-26 14:25:00",Itäkeskus,Tallinnanaukio eastern separate exit building,"2016-08-26 14:27:00",
6,Itis Tallinnanaukio west,"2016-08-26 14:28:00",SUBWAY,,"2016-08-26 14:29:00",Itäkeskus,"2016-08-26 14:30:00",Puotila,south,"2016-08-26 14:31:00",
6,Karavaanisilta,"2016-08-26 14:59:00",SUBWAY,,"2016-08-26 15:02:00",Rastila,"2016-08-26 15:20:00",Kamppi,Forum Kukontori,"2016-08-26 15:37:00",
6,,"2016-08-26 15:40:00",TRAM,2,"2016-08-26 15:41:00",0231 Simonkatu,"2016-08-26 15:43:00",H0233 Kamppi 74,,,
6,,"2016-08-26 15:45:00",TRAM,9,"2016-08-26 15:50:00",H0825 Kampintori 79,"2016-08-26 15:59:00",0200 Länsiterminaali 1,,,
7,,,CAR,,"2016-08-26 09:13:00",Leppävaara,"2016-08-26 09:30:00",Kumpula,,,
7,,,CAR,,"2016-08-26 15:00:00",Kumpula,"2016-08-26 15:15:00","Käpylä, K market",,,"there was a road construction before, lengish stop"
7,,,CAR,,"2016-08-26 15:25:00",Käpylä,"2016-08-26 15:45:00",Leppävaara,,,
8,Jämsänkatu 0661,"2016-08-26 10:15:00",TRAM,9,"2016-08-26 10:18:00",Jämsänkatu 0661,"2016-08-26 10:23:00",Pasilan asema 0621,,,
8,Pasila st.,"2016-08-26 10:29:00",TRAIN,K,"2016-08-26 10:31:00",track 1,"2016-08-26 10:35:00",Railway st. track 1,Asematunneli,"2016-08-26 10:37:00",
8,Railway st. 0301,"2016-08-26 10:44:00",TRAM,9,"2016-08-26 10:44:00",Rautatieasema 0301,"2016-08-26 10:53:00",Hakaniemi 0251,,,
8,Hakaniemi 2401,"2016-08-26 11:08:00",BUS,72,"2016-08-26 11:08:00",Hakaniemi 2401,"2016-08-26 11:13:00",Sörnäinen 2409,,,
8,Sörnäinen (M),"2016-08-26 11:15:00",SUBWAY,,"2016-08-26 11:25:00",Sörnäinen (M),"2016-08-26 11:41:00",Vuosaari (M),east side,"2016-08-26 11:43:00",
8,Vuosaari (M),"2016-08-26 11:51:00",SUBWAY,,"2016-08-26 11:52:00",Vuosaari (M),"2016-08-26 11:58:00",Itäkeskus (M),Tallinnanaukio,"2016-08-26 11:59:00",
8,Itäkeskus 4322,"2016-08-26 13:47:00",BUS,550,"2016-08-26 13:49:00",Itäkeskus 4322,"2016-08-26 14:04:00",Oulunkylän asema 3167,,,
8,Oulunkylä 0073,"2016-08-26 14:06:00",TRAIN,I,"2016-08-26 14:09:00",Oulunkylä 0073,"2016-08-26 14:20:00",Tikkurila st. Track 3,,,
8,Tikkurila st.,"2016-08-26 14:43:00",TRAIN,I,"2016-08-26 14:49:00",Tikkurila st. Track 3,"2016-08-26 14:58:00",Lentoasema V0536,Airport terminal,"2016-08-26 15:02:00",
8,Lentoasema V0531,"2016-08-26 15:06:00",TRAIN,P,"2016-08-26 15:13:00",Lentoasema V0531,"2016-08-26 15:40:00",Railway st. track 1,,,
